id,date,layer,population,total_cases,new_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date,active_cases_14_by_100k,active_cases_7_by_100k,new_cases_by_100k,total_cases_by_100k
34,2021-08-09,zbs_15,,368,0,19,28,2.7142857142857144,2.0,22,2020-05-28,,,,
22,2021-08-09,zbs_15,,1800,1,22,49,3.142857142857143,3.5,23,2020-10-30,,,,
39,2021-08-09,zbs_15,,1800,4,98,154,14.0,11.0,46,2021-01-18,,,,
67,2021-08-09,zbs_15,,1860,13,66,119,9.428571428571429,8.5,20,2021-01-04,,,,
48,2021-08-09,zbs_15,,1511,2,25,85,3.5714285714285716,6.071428571428571,29,2020-10-29,,,,
63,2021-08-09,zbs_15,,1696,4,27,73,3.857142857142857,5.214285714285714,28,2020-10-29,,,,
35,2021-08-09,zbs_15,,260,0,3,10,0.42857142857142855,0.7142857142857143,7,2020-05-28,,,,
20,2021-08-09,zbs_15,,2581,1,40,106,5.714285714285714,7.571428571428571,39,2021-07-04,,,,
37,2021-08-09,zbs_15,,534,0,11,35,1.5714285714285714,2.5,39,2020-11-04,,,,
17,2021-08-09,zbs_15,,3156,4,52,124,7.428571428571429,8.857142857142858,40,2020-10-18,,,,
68,2021-08-09,zbs_15,,1510,1,14,56,2.0,4.0,85,2020-05-28,,,,
13,2021-08-09,zbs_15,,2276,5,29,73,4.142857142857143,5.214285714285714,41,2020-05-19,,,,
49,2021-08-09,zbs_15,,1508,6,40,68,5.714285714285714,4.857142857142857,34,2020-05-19,,,,
24,2021-08-09,zbs_15,,1725,3,21,66,3.0,4.714285714285714,26,2020-10-19,,,,
16,2021-08-09,zbs_15,,1749,3,19,44,2.7142857142857144,3.142857142857143,37,2020-10-19,,,,
26,2021-08-09,zbs_15,,2767,5,41,104,5.857142857142857,7.428571428571429,155,2020-05-28,,,,
66,2021-08-09,zbs_15,,1617,1,33,71,4.714285714285714,5.071428571428571,21,2020-10-19,,,,
14,2021-08-09,zbs_15,,1713,6,30,78,4.285714285714286,5.571428571428571,20,2021-07-25,,,,
46,2021-08-09,zbs_15,,2909,9,79,172,11.285714285714286,12.285714285714286,50,2020-08-26,,,,
61,2021-08-09,zbs_15,,2096,3,23,67,3.2857142857142856,4.785714285714286,190,2020-05-28,,,,
45,2021-08-09,zbs_15,,1741,7,78,136,11.142857142857142,9.714285714285714,28,2020-08-26,,,,
40,2021-08-09,zbs_15,,1328,1,13,36,1.8571428571428572,2.5714285714285716,51,2020-05-19,,,,
33,2021-08-09,zbs_15,,435,1,4,30,0.5714285714285714,2.142857142857143,12,2020-10-09,,,,
36,2021-08-09,zbs_15,,135,0,0,3,0.0,0.21428571428571427,5,2021-01-23,,,,
02,2021-08-09,zbs_15,,1206,3,11,43,1.5714285714285714,3.0714285714285716,27,2021-04-11,,,,
51,2021-08-09,zbs_15,,1573,1,18,54,2.5714285714285716,3.857142857142857,32,2020-10-29,,,,
06,2021-08-09,zbs_15,,976,1,51,141,7.285714285714286,10.071428571428571,21,2021-07-31,,,,
10,2021-08-09,zbs_15,,396,1,2,20,0.2857142857142857,1.4285714285714286,12,2020-05-28,,,,
03,2021-08-09,zbs_15,,990,4,28,69,4.0,4.928571428571429,24,2020-12-16,,,,
29,2021-08-09,zbs_15,,946,2,11,44,1.5714285714285714,3.142857142857143,35,2020-10-29,,,,
08,2021-08-09,zbs_15,,314,0,6,11,0.8571428571428571,0.7857142857142857,13,2020-10-15,,,,
05,2021-08-09,zbs_15,,1174,1,18,52,2.5714285714285716,3.7142857142857144,157,2021-07-15,,,,
04,2021-08-09,zbs_15,,564,0,6,21,0.8571428571428571,1.5,18,2021-07-14,,,,
01,2021-08-09,zbs_15,,1168,10,51,107,7.285714285714286,7.642857142857143,36,2020-05-28,,,,
18,2021-08-09,zbs_15,,2488,10,57,126,8.142857142857142,9.0,30,2020-11-22,,,,
23,2021-08-09,zbs_15,,2847,12,58,125,8.285714285714286,8.928571428571429,54,2020-04-05,,,,
07,2021-08-09,zbs_15,,702,1,22,41,3.142857142857143,2.9285714285714284,18,2021-07-09,,,,
15,2021-08-09,zbs_15,,874,3,15,32,2.142857142857143,2.2857142857142856,54,2020-10-10,,,,
21,2021-08-09,zbs_15,,1838,2,43,87,6.142857142857143,6.214285714285714,25,2021-01-18,,,,
31,2021-08-09,zbs_15,,83,0,1,2,0.14285714285714285,0.14285714285714285,8,2020-10-07,,,,
47,2021-08-09,zbs_15,,2076,5,22,58,3.142857142857143,4.142857142857143,43,2020-10-12,,,,
12,2021-08-09,zbs_15,,1396,1,16,62,2.2857142857142856,4.428571428571429,24,2020-10-18,,,,
27,2021-08-08,zbs_15,,697,2,11,24,1.5714285714285714,1.7142857142857142,18,2020-04-22,,,,
42,2021-08-08,zbs_15,,522,2,5,16,0.7142857142857143,1.1428571428571428,25,2020-10-19,,,,
50,2021-08-08,zbs_15,,1485,2,44,83,6.285714285714286,5.928571428571429,27,2020-10-22,,,,
32,2021-08-08,zbs_15,,1729,18,83,207,11.857142857142858,14.785714285714286,24,2021-07-21,,,,
11,2021-08-08,zbs_15,,1835,3,43,107,6.142857142857143,7.642857142857143,27,2021-07-10,,,,
41,2021-08-08,zbs_15,,771,1,12,21,1.7142857142857142,1.5,77,2020-05-28,,,,
43,2021-08-08,zbs_15,,822,0,16,29,2.2857142857142856,2.0714285714285716,20,2020-10-26,,,,
64,2021-08-08,zbs_15,,1470,0,14,57,2.0,4.071428571428571,67,2020-05-28,,,,
19,2021-08-08,zbs_15,,1303,1,21,57,3.0,4.071428571428571,21,2021-07-15,,,,
28,2021-08-08,zbs_15,,1709,2,21,71,3.0,5.071428571428571,21,2020-10-28,,,,
09,2021-08-08,zbs_15,,219,0,0,7,0.0,0.5,17,2021-01-18,,,,
44,2021-08-08,zbs_15,,1900,4,34,93,4.857142857142857,6.642857142857143,58,2020-09-20,,,,
38,2021-08-08,zbs_15,,1122,3,29,92,4.142857142857143,6.571428571428571,21,2020-11-06,,,,
30,2021-08-08,zbs_15,,110,0,4,5,0.5714285714285714,0.35714285714285715,6,2020-10-08,,,,
25,2021-08-08,zbs_15,,2641,3,48,119,6.857142857142857,8.5,44,2021-07-04,,,,
34,2021-08-08,zbs_15,,368,2,20,28,2.857142857142857,2.0,22,2020-05-28,,,,
22,2021-08-08,zbs_15,,1799,2,21,55,3.0,3.9285714285714284,23,2020-10-30,,,,
39,2021-08-08,zbs_15,,1796,17,99,159,14.142857142857142,11.357142857142858,46,2021-01-18,,,,
67,2021-08-08,zbs_15,,1847,9,61,110,8.714285714285714,7.857142857142857,20,2021-01-04,,,,
48,2021-08-08,zbs_15,,1509,2,29,92,4.142857142857143,6.571428571428571,29,2020-10-29,,,,
63,2021-08-08,zbs_15,,1692,3,27,73,3.857142857142857,5.214285714285714,28,2020-10-29,,,,
35,2021-08-08,zbs_15,,260,0,3,10,0.42857142857142855,0.7142857142857143,7,2020-05-28,,,,
20,2021-08-08,zbs_15,,2580,4,45,120,6.428571428571429,8.571428571428571,39,2021-07-04,,,,
37,2021-08-08,zbs_15,,534,2,16,39,2.2857142857142856,2.7857142857142856,39,2020-11-04,,,,
17,2021-08-08,zbs_15,,3152,0,55,123,7.857142857142857,8.785714285714286,40,2020-10-18,,,,
68,2021-08-08,zbs_15,,1509,3,17,60,2.4285714285714284,4.285714285714286,85,2020-05-28,,,,
13,2021-08-08,zbs_15,,2271,1,31,72,4.428571428571429,5.142857142857143,41,2020-05-19,,,,
49,2021-08-08,zbs_15,,1502,10,36,72,5.142857142857143,5.142857142857143,34,2020-05-19,,,,
24,2021-08-08,zbs_15,,1722,2,20,72,2.857142857142857,5.142857142857143,26,2020-10-19,,,,
16,2021-08-08,zbs_15,,1746,3,19,50,2.7142857142857144,3.5714285714285716,37,2020-10-19,,,,
26,2021-08-08,zbs_15,,2762,6,39,107,5.571428571428571,7.642857142857143,155,2020-05-28,,,,
66,2021-08-08,zbs_15,,1616,3,33,70,4.714285714285714,5.0,21,2020-10-19,,,,
14,2021-08-08,zbs_15,,1707,1,26,81,3.7142857142857144,5.785714285714286,20,2021-07-25,,,,
46,2021-08-08,zbs_15,,2900,7,84,178,12.0,12.714285714285714,50,2020-08-26,,,,
61,2021-08-08,zbs_15,,2093,3,22,67,3.142857142857143,4.785714285714286,190,2020-05-28,,,,
45,2021-08-08,zbs_15,,1734,7,78,135,11.142857142857142,9.642857142857142,28,2020-08-26,,,,
40,2021-08-08,zbs_15,,1327,3,14,37,2.0,2.642857142857143,51,2020-05-19,,,,
33,2021-08-08,zbs_15,,434,0,5,33,0.7142857142857143,2.357142857142857,12,2020-10-09,,,,
36,2021-08-08,zbs_15,,135,0,1,3,0.14285714285714285,0.21428571428571427,5,2021-01-23,,,,
02,2021-08-08,zbs_15,,1203,2,8,43,1.1428571428571428,3.0714285714285716,27,2021-04-11,,,,
51,2021-08-08,zbs_15,,1572,0,26,57,3.7142857142857144,4.071428571428571,32,2020-10-29,,,,
06,2021-08-08,zbs_15,,975,7,53,142,7.571428571428571,10.142857142857142,21,2021-07-31,,,,
10,2021-08-08,zbs_15,,395,1,3,22,0.42857142857142855,1.5714285714285714,12,2020-05-28,,,,
03,2021-08-08,zbs_15,,986,2,24,71,3.4285714285714284,5.071428571428571,24,2020-12-16,,,,
29,2021-08-08,zbs_15,,944,1,13,43,1.8571428571428572,3.0714285714285716,35,2020-10-29,,,,
08,2021-08-08,zbs_15,,314,0,6,11,0.8571428571428571,0.7857142857142857,13,2020-10-15,,,,
05,2021-08-08,zbs_15,,1173,2,18,56,2.5714285714285716,4.0,157,2021-07-15,,,,
04,2021-08-08,zbs_15,,564,0,6,25,0.8571428571428571,1.7857142857142858,18,2021-07-14,,,,
01,2021-08-08,zbs_15,,1158,3,43,100,6.142857142857143,7.142857142857143,36,2020-05-28,,,,
18,2021-08-08,zbs_15,,2478,4,50,125,7.142857142857143,8.928571428571429,30,2020-11-22,,,,
23,2021-08-08,zbs_15,,2835,5,53,126,7.571428571428571,9.0,54,2020-04-05,,,,
07,2021-08-08,zbs_15,,701,3,21,44,3.0,3.142857142857143,18,2021-07-09,,,,
15,2021-08-08,zbs_15,,871,1,14,32,2.0,2.2857142857142856,54,2020-10-10,,,,
21,2021-08-08,zbs_15,,1836,4,46,91,6.571428571428571,6.5,25,2021-01-18,,,,
31,2021-08-08,zbs_15,,83,0,1,2,0.14285714285714285,0.14285714285714285,8,2020-10-07,,,,
47,2021-08-08,zbs_15,,2071,2,23,57,3.2857142857142856,4.071428571428571,43,2020-10-12,,,,
12,2021-08-08,zbs_15,,1395,3,22,74,3.142857142857143,5.285714285714286,24,2020-10-18,,,,
27,2021-08-07,zbs_15,,695,2,9,24,1.2857142857142858,1.7142857142857142,18,2020-04-22,,,,
42,2021-08-07,zbs_15,,520,1,3,14,0.42857142857142855,1.0,25,2020-10-19,,,,
50,2021-08-07,zbs_15,,1483,3,44,83,6.285714285714286,5.928571428571429,27,2020-10-22,,,,
32,2021-08-07,zbs_15,,1711,9,79,212,11.285714285714286,15.142857142857142,24,2021-07-21,,,,
11,2021-08-07,zbs_15,,1832,1,46,106,6.571428571428571,7.571428571428571,27,2021-07-10,,,,
41,2021-08-07,zbs_15,,770,2,11,22,1.5714285714285714,1.5714285714285714,77,2020-05-28,,,,
43,2021-08-07,zbs_15,,822,4,16,29,2.2857142857142856,2.0714285714285716,20,2020-10-26,,,,
64,2021-08-07,zbs_15,,1470,1,20,61,2.857142857142857,4.357142857142857,67,2020-05-28,,,,
19,2021-08-07,zbs_15,,1302,4,23,60,3.2857142857142856,4.285714285714286,21,2021-07-15,,,,
28,2021-08-07,zbs_15,,1707,0,24,75,3.4285714285714284,5.357142857142857,21,2020-10-28,,,,
09,2021-08-07,zbs_15,,219,0,0,7,0.0,0.5,17,2021-01-18,,,,
44,2021-08-07,zbs_15,,1896,9,37,96,5.285714285714286,6.857142857142857,58,2020-09-20,,,,
38,2021-08-07,zbs_15,,1119,3,33,93,4.714285714285714,6.642857142857143,21,2020-11-06,,,,
30,2021-08-07,zbs_15,,110,1,4,5,0.5714285714285714,0.35714285714285715,6,2020-10-08,,,,
25,2021-08-07,zbs_15,,2638,5,53,123,7.571428571428571,8.785714285714286,44,2021-07-04,,,,
34,2021-08-07,zbs_15,,366,0,20,27,2.857142857142857,1.9285714285714286,22,2020-05-28,,,,
22,2021-08-07,zbs_15,,1797,1,22,56,3.142857142857143,4.0,23,2020-10-30,,,,
39,2021-08-07,zbs_15,,1779,9,87,147,12.428571428571429,10.5,46,2021-01-18,,,,
67,2021-08-07,zbs_15,,1838,11,54,108,7.714285714285714,7.714285714285714,20,2021-01-04,,,,
48,2021-08-07,zbs_15,,1507,6,38,97,5.428571428571429,6.928571428571429,29,2020-10-29,,,,
63,2021-08-07,zbs_15,,1689,1,29,76,4.142857142857143,5.428571428571429,28,2020-10-29,,,,
35,2021-08-07,zbs_15,,260,0,4,12,0.5714285714285714,0.8571428571428571,7,2020-05-28,,,,
20,2021-08-07,zbs_15,,2576,4,47,128,6.714285714285714,9.142857142857142,39,2021-07-04,,,,
