id,date,layer,new_cases,total_cases,active_cases_7,active_cases_14,new_cases_mean_7,new_cases_mean_14,max_new_cases,max_new_cases_date
29,2021-02-13,cnig_provincias,279,80381,2474,7340,353.42857142857144,524.2857142857143,1862,2021-01-20
49,2021-02-13,cnig_provincias,8,11853,84,350,12.0,25.0,214,2020-10-27
31,2021-02-13,cnig_provincias,36,50543,521,1608,74.42857142857143,114.85714285714286,734,2020-10-19
45,2021-02-13,cnig_provincias,23,60996,784,2876,112.0,205.42857142857142,945,2021-01-20
10,2021-02-13,cnig_provincias,8,22640,160,639,22.857142857142858,45.642857142857146,369,2021-01-13
24,2021-02-13,cnig_provincias,33,33765,780,2370,111.42857142857143,169.28571428571428,572,2021-01-25
02,2021-02-13,cnig_provincias,32,25744,233,882,33.285714285714285,63.0,374,2021-01-14
19,2021-02-13,cnig_provincias,11,18852,300,1166,42.857142857142854,83.28571428571429,350,2021-01-15
38,2021-02-13,cnig_provincias,28,16583,338,748,48.285714285714285,53.42857142857143,216,2020-12-15
33,2021-02-13,cnig_provincias,7,41619,1225,3506,175.0,250.42857142857142,801,2020-11-10
35,2021-02-13,cnig_provincias,73,20888,767,1772,109.57142857142857,126.57142857142857,285,2021-01-18
13,2021-02-13,cnig_provincias,18,41251,386,1370,55.142857142857146,97.85714285714286,781,2021-01-12
03,2021-02-13,cnig_provincias,122,137080,1889,8078,269.85714285714283,577.0,3791,2021-01-15
37,2021-02-13,cnig_provincias,26,27346,497,1609,71.0,114.92857142857143,434,2021-01-25
39,2021-02-13,cnig_provincias,7,23982,464,1131,66.28571428571429,80.78571428571429,264,2020-11-02
41,2021-02-13,cnig_provincias,165,95466,2659,7392,379.85714285714283,528.0,1611,2021-01-22
40,2021-02-13,cnig_provincias,25,13517,294,863,42.0,61.642857142857146,284,2021-01-15
06,2021-02-13,cnig_provincias,45,44797,547,1603,78.14285714285714,114.5,1008,2021-01-15
30,2021-02-12,cnig_provincias,157,104779,1331,4214,190.14285714285714,301.0,2105,2021-01-12
32,2021-02-12,cnig_provincias,18,14053,290,846,41.42857142857143,60.42857142857143,264,2021-01-18
46,2021-02-12,cnig_provincias,309,190535,3306,12293,472.2857142857143,878.0714285714286,4420,2021-01-15
27,2021-02-12,cnig_provincias,27,11113,350,847,50.0,60.5,208,2021-01-22
42,2021-02-12,cnig_provincias,35,6901,253,697,36.142857142857146,49.785714285714285,91,2021-01-25
05,2021-02-12,cnig_provincias,23,10790,146,521,20.857142857142858,37.214285714285715,175,2021-01-11
23,2021-02-12,cnig_provincias,99,39576,834,2500,119.14285714285714,178.57142857142858,595,2020-10-23
52,2021-02-12,cnig_provincias,32,6660,193,506,27.571428571428573,36.142857142857146,100,2020-10-21
08,2021-02-12,cnig_provincias,837,404139,7319,18783,1045.5714285714287,1341.642857142857,4967,2020-10-20
07,2021-02-12,cnig_provincias,70,55121,730,2201,104.28571428571429,157.21428571428572,798,2021-01-04
36,2021-02-12,cnig_provincias,110,34929,1039,3021,148.42857142857142,215.78571428571428,609,2021-01-18
47,2021-02-12,cnig_provincias,87,46074,688,2115,98.28571428571429,151.07142857142858,725,2021-01-18
25,2021-02-12,cnig_provincias,75,37140,613,1547,87.57142857142857,110.5,343,2020-07-18
12,2021-02-12,cnig_provincias,75,36900,760,2663,108.57142857142857,190.21428571428572,860,2021-01-20
22,2021-02-12,cnig_provincias,20,15682,157,431,22.428571428571427,30.785714285714285,248,2020-11-03
48,2021-02-12,cnig_provincias,258,74602,2210,5135,315.7142857142857,366.7857142857143,692,2020-10-27
50,2021-02-12,cnig_provincias,155,74624,1389,3706,198.42857142857142,264.7142857142857,819,2020-10-26
09,2021-02-12,cnig_provincias,53,28354,499,1184,71.28571428571429,84.57142857142857,359,2020-11-05
17,2021-02-12,cnig_provincias,114,55178,1064,2578,152.0,184.14285714285714,784,2020-10-21
11,2021-02-12,cnig_provincias,319,65727,2454,7101,350.57142857142856,507.2142857142857,1441,2021-01-20
28,2021-02-12,cnig_provincias,1728,564420,12673,34612,1810.4285714285713,2472.285714285714,6901,2021-01-19
34,2021-02-12,cnig_provincias,59,16770,444,1614,63.42857142857143,115.28571428571429,287,2021-01-22
44,2021-02-12,cnig_provincias,50,12601,428,1218,61.142857142857146,87.0,189,2021-01-22
21,2021-02-12,cnig_provincias,62,23805,636,2154,90.85714285714286,153.85714285714286,579,2021-01-22
26,2021-02-12,cnig_provincias,22,27193,259,1062,37.0,75.85714285714286,368,2021-01-19
01,2021-02-12,cnig_provincias,36,21745,513,1285,73.28571428571429,91.78571428571429,181,2020-03-18
20,2021-02-12,cnig_provincias,120,49710,1072,2792,153.14285714285714,199.42857142857142,693,2020-11-01
16,2021-02-12,cnig_provincias,14,18338,220,825,31.428571428571427,58.92857142857143,340,2021-01-14
51,2021-02-12,cnig_provincias,15,4384,163,390,23.285714285714285,27.857142857142858,75,2020-10-28
18,2021-02-12,cnig_provincias,246,66103,1273,3509,181.85714285714286,250.64285714285714,1252,2020-10-21
43,2021-02-12,cnig_provincias,76,49449,616,1769,88.0,126.35714285714286,834,2020-10-21
15,2021-02-12,cnig_provincias,120,48122,1602,4519,228.85714285714286,322.7857142857143,952,2021-01-18
04,2021-02-12,cnig_provincias,219,42699,1587,4682,226.71428571428572,334.42857142857144,901,2021-01-20
14,2021-02-12,cnig_provincias,122,42122,764,2696,109.14285714285714,192.57142857142858,718,2021-01-19
29,2021-02-12,cnig_provincias,365,80102,2609,7867,372.7142857142857,561.9285714285714,1862,2021-01-20
49,2021-02-12,cnig_provincias,12,11845,99,428,14.142857142857142,30.571428571428573,214,2020-10-27
31,2021-02-12,cnig_provincias,49,50507,593,1772,84.71428571428571,126.57142857142857,734,2020-10-19
45,2021-02-12,cnig_provincias,81,60973,905,3098,129.28571428571428,221.28571428571428,945,2021-01-20
10,2021-02-12,cnig_provincias,21,22632,200,768,28.571428571428573,54.857142857142854,369,2021-01-13
24,2021-02-12,cnig_provincias,81,33732,904,2631,129.14285714285714,187.92857142857142,572,2021-01-25
02,2021-02-12,cnig_provincias,16,25712,261,970,37.285714285714285,69.28571428571429,374,2021-01-14
19,2021-02-12,cnig_provincias,34,18841,356,1271,50.857142857142854,90.78571428571429,350,2021-01-15
38,2021-02-12,cnig_provincias,40,16555,362,755,51.714285714285715,53.92857142857143,216,2020-12-15
33,2021-02-12,cnig_provincias,128,41612,1487,3938,212.42857142857142,281.2857142857143,801,2020-11-10
35,2021-02-12,cnig_provincias,89,20815,837,1883,119.57142857142857,134.5,285,2021-01-18
13,2021-02-12,cnig_provincias,44,41233,455,1471,65.0,105.07142857142857,781,2021-01-12
03,2021-02-12,cnig_provincias,200,136958,2274,9260,324.85714285714283,661.4285714285714,3791,2021-01-15
37,2021-02-12,cnig_provincias,62,27320,583,1756,83.28571428571429,125.42857142857143,434,2021-01-25
39,2021-02-12,cnig_provincias,102,23975,540,1251,77.14285714285714,89.35714285714286,264,2020-11-02
41,2021-02-12,cnig_provincias,501,95301,2960,8021,422.85714285714283,572.9285714285714,1611,2021-01-22
40,2021-02-12,cnig_provincias,40,13492,318,961,45.42857142857143,68.64285714285714,284,2021-01-15
06,2021-02-12,cnig_provincias,77,44752,589,1697,84.14285714285714,121.21428571428571,1008,2021-01-15
30,2021-02-11,cnig_provincias,131,104622,1454,4649,207.71428571428572,332.07142857142856,2105,2021-01-12
32,2021-02-11,cnig_provincias,25,14035,324,957,46.285714285714285,68.35714285714286,264,2021-01-18
46,2021-02-11,cnig_provincias,397,190226,3945,13991,563.5714285714286,999.3571428571429,4420,2021-01-15
27,2021-02-11,cnig_provincias,46,11086,371,925,53.0,66.07142857142857,208,2021-01-22
42,2021-02-11,cnig_provincias,35,6866,258,734,36.857142857142854,52.42857142857143,91,2021-01-25
05,2021-02-11,cnig_provincias,18,10767,169,560,24.142857142857142,40.0,175,2021-01-11
23,2021-02-11,cnig_provincias,115,39477,939,2674,134.14285714285714,191.0,595,2020-10-23
52,2021-02-11,cnig_provincias,23,6628,216,511,30.857142857142858,36.5,100,2020-10-21
08,2021-02-11,cnig_provincias,906,403302,8013,20167,1144.7142857142858,1440.5,4967,2020-10-20
07,2021-02-11,cnig_provincias,79,55051,791,2340,113.0,167.14285714285714,798,2021-01-04
